elektrische Last;PV Einspeisung;Wärmelast
0,877872396;0;3,824451969
0,779399497;0;3,700040991
0,603910276;0;3,807132128
0,250705654;0;3,75235693
0,424821275;0;3,724399565
0,466739753;0;3,776198062
0,819707547;0;3,810896764
0,397254548;0;3,976387252
0,724313407;0;4,250206909
0,2980238;0;4,411113667
0,279503885;0,08;4,352425166
0,369072068;0,25;4,175183051
0,489048909;0,46;4,006667323
0,789867275;0,65;3,853468682
0,638629196;0,7;3,73463256
0,709156443;0,63;3,68298167
0,717161214;0,32;3,632939476
0,993965265;0;3,601578306
0,622761749;0;3,600987576
0,529025401;0;3,73492747
1,43631178;0;3,87582338
0,886966574;0;4,065222286
1,232924272;0;4,073489361
0,812365893;0;4,132832937
0,556118474;0;4,038748215
0,352446773;0;3,904446642
0,503826949;0;4,024725239
0,347426029;0;3,962257356
0,806397839;0;3,943091632
0,581269561;0;3,990494309
0,256105322;0;4,029588831
0,518368161;0;4,193980364
0,339989644;0;4,464503155
0,358367462;0;4,629805734
0,295087139;0,18;4,571117233
0,92500108;0,92;4,393875118
0,149059266;1,17;4,211072974
0,660654159;1,22;4,052379557
0,804313756;0,84;3,929147614
0,402038464;0,34;3,880793589
0,748754011;0,07;3,82965244
0,497716798;0;3,79389545
0,31881726;0;3,795502631
0,57051759;0;3,93273939
1,443842897;0;4,074734255
0,977576798;0;4,265232116
0,425294931;0;4,282290832
0,65335987;0;4,346030228
0,665011786;0;4,251945506
0,43543115;0;4,114347068
0,166679236;0;3,807132128
0,338331851;0;3,75235693
0,590979491;0;3,724399565
0,380676618;0;3,776198062
0,314459633;0;3,810896764
0,344820926;0;3,976387252
0,494543309;0;4,250206909
0,452766927;0;4,411113667
0,436141633;0,08;4,352425166
0,356709669;0,3;4,175183051
0,930400749;0,4;4,006667323
0,306881151;0,49;3,853468682
0,407959153;0,42;3,73463256
1,322208262;0,35;3,68298167
0,441493936;0,14;3,632939476
1,965195085;0;3,601578306
1,967610726;0;3,600987576
1,172296417;0;3,73492747
0,73662844;0;3,87582338
1,180822209;0;4,065222286
1,159034074;0;4,073489361
1,03877304;0;4,132832937
0,773005153;0;4,038748215
0,699920168;0;3,904446642
0,510789679;0;4,095448069
0,553939661;0;4,009513111
0,343731519;0;3,982400004
0,546124351;0;3,998441511
0,247295337;0;4,006281803
0,571370169;0;4,037495214
0,759127058;0;4,104170706
0,42666853;0;4,285153263
0,620061915;0,15;4,516556036
0,769121181;0,65;4,684286181
0,627356204;2,69;4,587727102
1,555767601;3,22;4,350629246
0,995670424;2,93;4,203878396
0,577764513;2,32;4,202568247
0,843579765;0,77;4,151426492
1,876147923;0,03;4,154869297
0,946931312;0;4,258400733
0,775468159;0;4,419161552
1,774264707;0;4,53763448
0,417479621;0;4,51644096
2,068688728;0;4,392374108
1,684933352;0;4,252266811
0,350457422;0;4,142502717
0,320332956;0;4,059785871
0,41411667;0;3,460264909
0,556876322;0;3,421211054
0,325732625;0;3,389702429
0,62929819;0;3,381124104
0,391381224;0;3,37328366
0,427852668;0;3,373136053
0,355999187;0;3,443256016
0,712993049;0;3,642264524
0,887392864;0,11;3,882607908
0,256863171;0,3;4,165448861
0,604573393;0,47;4,150293146
1,58712357;0,57;4,011380921
1,097316812;0,52;3,778092096
0,679884557;0,38;3,637705321
0,310812489;0,19;3,437596342
0,450256555;0;3,280790494
0,478723228;0;3,245541729
0,612436068;0;3,331342429
0,547355855;0;3,494956233
0,457977134;0;3,610641429
0,657764863;0;3,668442169
0,205045301;0;3,711006508
0,778167994;0;3,640443725
0,508610866;0;3,495849645
0,302476158;0;3,196113086
0,360309448;0;3,138041023
0,360688372;0;3,114479479
0,522536326;0;3,153090515
0,415348173;0;3,195481902
0,368503682;0;3,359873436
0,326822032;0;3,621604586
0,409427484;0;3,782511344
0,584679878;0;3,728218663
0,726681682;0,03;3,560867144
0,460629602;0,12;3,405538878
0,410185332;0,21;3,275418294
0,245874372;0,14;3,171967543
0,37854517;0,02;3,130207249
1,217909405;0,01;3,08346192
0,659896311;0;3,048803885
0,929500804;0;3,043817335
0,479291614;0;3,176658274
1,09385913;0;3,304366723
1,43725909;0;3,478380257
0,992354838;0;3,467965095
0,905012834;0;3,51412121
0,37897146;0;3,427729174
0,251084578;0;3,303318196
0,383897473;0;3,196113086
0,460155947;0;3,138041023
0,373334964;0;3,114479479
0,536414421;0;3,153090515
0,24663222;0;3,195481902
0,300818366;0;3,359873436
0,426715896;0;3,621604586
0,13792837;0;3,782511344
0,329000845;0,2;3,728218663
0,741459722;0,69;3,560867144
0,912401854;0,83;3,405538878
1,523416956;0,64;3,275418294
0,457124555;0,31;3,171967543
0,523957292;0,05;3,130207249
0,400996423;0;3,08346192
0,892697801;0;3,048803885
0,607462689;0;3,043817335
1,011348408;0;3,176658274
1,125073002;0;3,304366723
1,648840832;0;3,478380257
1,441711449;0;3,467965095
0,81165541;0;3,51412121
0,394981003;0;3,427729174
0,327011494;0;3,303318196
0,510126562;0;3,196113086
0,414779787;0;3,138041023
0,628256149;0;3,114479479
0,341315878;0;3,153090515
0,34984167;0;3,195481902
0,527935995;0;3,359873436
0,545319138;0;3,621604586
0,534046146;0;3,782511344
0,778452187;0;3,728218663
0,587758636;0,05;3,560867144
0,337763465;0,11;3,405538878
0,577527686;0,13;3,275418294
0,502453349;0,06;3,171967543
1,124220423;0,02;3,130207249
0,746764659;0;3,08346192
0,51689983;0;3,048803885
